ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300102.SZ,2018-01-02,10.0,10.11,9.78,10.11,10.06,0.05,0.5,275401.21,274228.07
300102.SZ,2018-01-03,10.08,10.35,10.03,10.24,10.11,0.13,1.29,328967.75,335900.548
300102.SZ,2018-01-04,10.18,10.48,10.13,10.25,10.24,0.01,0.1,340830.06,351013.627
300102.SZ,2018-01-05,10.16,10.2,9.88,9.89,10.25,-0.36,-3.51,326708.05,326391.267
300102.SZ,2018-01-08,9.83,9.84,9.51,9.64,9.89,-0.25,-2.53,323330.21,310918.971
300102.SZ,2018-01-09,9.62,9.73,9.53,9.7,9.64,0.06,0.62,185016.21,178232.161
300102.SZ,2018-01-10,9.65,9.71,9.48,9.64,9.7,-0.06,-0.62,155863.9,149618.451
300102.SZ,2018-01-11,9.62,9.81,9.53,9.74,9.64,0.1,1.04,186890.38,181587.43
300102.SZ,2018-01-12,9.4,9.45,8.77,8.88,9.74,-0.86,-8.83,562720.48,509719.644
300102.SZ,2018-01-15,8.8,8.81,8.38,8.45,8.88,-0.43,-4.84,262679.05,225911.159
300102.SZ,2018-01-16,8.4,8.55,8.31,8.4,8.45,-0.05,-0.59,169020.4,142126.951
300102.SZ,2018-01-17,8.45,8.67,8.33,8.62,8.4,0.22,2.62,207268.89,177004.264
300102.SZ,2018-01-18,8.56,8.59,8.46,8.5,8.62,-0.12,-1.39,108914.48,92806.147
300102.SZ,2018-01-19,8.5,8.6,8.37,8.38,8.5,-0.12,-1.41,120964.03,102427.747
300102.SZ,2018-01-22,8.34,8.45,8.09,8.4,8.38,0.02,0.24,166208.49,137644.002
300102.SZ,2018-01-23,8.38,8.43,8.3,8.34,8.4,-0.06,-0.71,97273.23,81222.238
300102.SZ,2018-01-24,8.32,8.57,8.2,8.52,8.34,0.18,2.16,170870.62,144266.765
300102.SZ,2018-01-25,8.47,8.78,8.46,8.61,8.52,0.09,1.06,206713.03,178839.272
300102.SZ,2018-01-26,8.54,8.65,8.52,8.55,8.61,-0.06,-0.7,96645.7,82786.172
300102.SZ,2018-01-29,8.56,8.63,8.34,8.39,8.55,-0.16,-1.87,85755.17,72554.717
300102.SZ,2018-01-30,8.46,8.64,8.43,8.54,8.39,0.15,1.79,93510.23,80049.065
300102.SZ,2018-01-31,8.49,8.57,8.22,8.26,8.54,-0.28,-3.28,109668.07,91652.29
300102.SZ,2018-02-01,8.29,8.34,7.65,7.65,8.26,-0.61,-7.39,173916.53,137965.9
300102.SZ,2018-02-02,7.44,7.61,7.16,7.42,7.65,-0.23,-3.01,222360.67,164132.702
300102.SZ,2018-02-05,7.29,7.58,7.21,7.48,7.42,0.06,0.81,118999.0,88400.385
300102.SZ,2018-02-06,7.29,7.53,7.03,7.05,7.48,-0.43,-5.75,139132.92,101931.071
300102.SZ,2018-02-07,7.18,7.4,7.03,7.27,7.05,0.22,3.12,138464.89,100180.023
